Commit,Author,Date,Message
31,33372a718ef48243f7774af43c4172d8407dfe18,Maxim Solodovnik,Wed Oct 11 10:09:37 CEST 2023,[OPENJPA-2915] properties of type Duration can be set as expected (#114),
32,a1e46a10c68c8176cda82db3d1b60e97ca412b75,Mark Struberg,Tue Jul 25 15:19:07 CEST 2023,OPENJPA-2914 upgrade xbean to 4.23,
33,0729141c31e8aad297b0cdc7cfb651363e84dfd9,Mark Struberg,Tue Jul 25 12:02:44 CEST 2023,OPENJPA-2911 finish Serp removal,
34,bb11f022d8ad03c1289d0d65d08201969132ca46,Mark Struberg,Tue Jul 25 11:09:50 CEST 2023,OPENJPA-2911 addGetData via ASM,
35,0ea92f44a4e2044d6c76461a3396f66f741ffc6e,Mark Struberg,Tue Jul 25 11:04:47 CEST 2023,OPENJPA-2911 newEmbeddedPCData via ASM,
36,1f8db2ade4bb46ab42ca1f2602e76545cdaebac2,Mark Struberg,Tue Jul 25 10:15:31 CEST 2023,OPENJPA-2911 remove unused methods,
37,8759f6fa7eebb4ed3f5a1cc7d0aa5e8c12197bbc,Mark Struberg,Tue Jul 25 10:12:17 CEST 2023,OPENJPA-2911 PCDataGenerator#store via ASM,
38,07edae25bf11bd496fcc94bebbc57cd5f6e27f75,Mark Struberg,Mon Jul 24 22:55:59 CEST 2023,OPENJPA-2911 addLoadWithFieldsMethod via ASM,
39,1fa918c8611c4f3a774e126d22f90912b0b92d6f,Mark Struberg,Mon Jul 24 21:26:15 CEST 2023,OPENJPA-2911 addLoadMethod via ASM,
40,e62e7eaa7c656ee5c900395c5d450dc30d642467,Mark Struberg,Mon Jul 24 16:21:52 CEST 2023,OPENJPA-2911 addFieldImplDataMethods via ASM,
41,c75e666452b386535c98baee3b481be07b272c8e,Mark Struberg,Mon Jul 24 11:31:36 CEST 2023,OPENJPA-2911 remove unused Serp fragments,
42,f009f39150c3d8f30dd601a4048580ded5f0bddd,Mark Struberg,Mon Jul 24 11:29:36 CEST 2023,OPENJPA-2911 remove now unused SerpPrivacyHelper,
43,f1993f14628580737bfa0f4b46238d2c72ccee43,Mark Struberg,Mon Jul 24 11:28:37 CEST 2023,OPENJPA-2911 timeout via ASM,
44,71b0f0b2c63d1f84b88c9598f996fd9258eabec1,Mark Struberg,Mon Jul 24 10:30:17 CEST 2023,OPENJPA-2911 isLoaded via ASM,
45,a8cb9d9d3d0ff07032a8d68b2712c2b46daa6d4b,Mark Struberg,Mon Jul 24 10:13:45 CEST 2023,OPENJPA-2911 newEmbeddedPCData in ASM,
46,279412c71a2b9ef93d3452db6640cc47b0eb0f7c,Mark Struberg,Mon Jul 24 09:01:29 CEST 2023,OPENJPA-2911 toNestedData in ASM,
47,9244250865277711aa95f6a9a379c1a3acc4fe4d,Mark Struberg,Sun Jul 23 21:15:17 CEST 2023,OPENJPA-2911 enhanceToData in ASM,
48,60ccb2605072307ddf123e499c458a34685d8e17,Mark Struberg,Sun Jul 23 18:36:46 CEST 2023,OPENJPA-2911 start removing Serp from PCDataGenerator,
49,b04c985956815dc3c50d2593c075197a6120ee73,Mark Struberg,Wed Jul 19 18:55:53 CEST 2023,OPENJPA-2911 code cleanup for InterfaceImplGenerator,
50,bc63865aac831946f17b4b12a771e09d8226eaad,Mark Struberg,Wed Jul 19 18:17:03 CEST 2023,OPENJPA-2911 ReverseMapping in ASM,
51,f83cb62c54e7401c8161c7ba513a941963055468,Mark Struberg,Wed Jul 19 17:56:12 CEST 2023,OPENJPA-2911 fix ClassLoader issue with temporary bytecode,
52,6eeb025cf3e771da8461633813e1926d912d2aab,Mark Struberg,Wed Jul 19 17:25:52 CEST 2023,OPENJPA-2911 migrate InterfaceImplGenerator wip,
53,b4bc2c4965487298bdf825508e0f416f97f1bc3b,Mark Struberg,Wed Jul 19 13:39:49 CEST 2023,OPENJPA-2911 remove unused imports,
54,0a81c3de7b8c590bf54b9d4138c51744684d369a,Mark Struberg,Wed Jul 19 13:14:16 CEST 2023,OPENJPA-2911 move PCEnhancer off Serp,
55,dfaf8da48e9d01af1911cb6effb5362013e03d14,Mark Struberg,Tue Jul 18 14:03:04 CEST 2023,OPENJPA-2911 move ASM stuff to one place,
56,f26fa179cc831ec570340aac77b961929934235e,Mark Struberg,Tue Jul 18 11:20:28 CEST 2023,OPENJPA-2911 more _managedType removal, code cleanup,
57,b5a6424f2b4e867c99335fded8f5f5d2c7209708,Mark Struberg,Tue Jul 18 10:53:54 CEST 2023,OPENJPA-2911 isCloneable via ClassNodeTracker,
58,eba1637454cf1cfa25903f8ab6eb5dda14da3750,Mark Struberg,Tue Jul 18 10:08:49 CEST 2023,OPENJPA-2911 move more BCClass usage to ASM,
59,eabceb69f43f28e2ac2698bc40e1044dd3f80331,Mark Struberg,Mon Jul 17 23:01:16 CEST 2023,OPENJPA-2911 inline ASM adapter handling,
60,86c266df7a2d2840c0f413ef3ea70741ae1bef3a,Mark Struberg,Mon Jul 17 22:31:18 CEST 2023,OPENJPA-2911 openjpa-lib without Serp,
61,a494966e8b04e1a31f9895947f7b4ac68d4f888b,Romain Manni-Bucau,Mon Jul 17 19:48:36 CEST 2023,moving to Class.forName to force clinit call instead of creating a dead instance,
62,37c114c7241db3c9e5842855718941b95c487de3,Mark Struberg,Mon Jul 17 19:32:20 CEST 2023,OPENJPA-2911 getPCBytecode now returns ClassNodeTracker,
63,11367cfbeae7e71c22804fc7c1040989388ea5cb,Mark Struberg,Mon Jul 17 18:06:43 CEST 2023,OPENJPA-2911 ByteCodeWriter with ASM,
64,bcb00d890976ac19e7969858aba3ed235ebcfea9,Mark Struberg,Mon Jul 17 10:08:39 CEST 2023,OPENJPA-2911 move BytecodeWriter to openjpa-kernel,
65,96a64bcebaf921c7f25053040ba9a18e1cac62a9,Mark Struberg,Sun Jul 16 17:40:45 CEST 2023,OPENJPA-2911 simplification and more modern code,
66,a25ad4fc95bc0d23ba22634a771c330df363017b,Mark Struberg,Sun Jul 16 17:24:42 CEST 2023,OPENJPA-2911 getIdClassConstructorParmOrder in ASM,
67,0ab02d696593b1507e0fcfdbfd2af50e1ed5e74b,Mark Struberg,Fri Jul 14 12:15:54 CEST 2023,OPENJPA-2911 AuxilaryEnhancer in ASM,
68,fb20da5063e79bfc91214abdaff1acc718c69405,Mark Struberg,Fri Jul 14 11:29:11 CEST 2023,OPENJPA-2911 add clone support in ASM,
69,4d505987c39858af3431768189c28204c59536d8,Mark Struberg,Thu Jul 13 14:11:14 CEST 2023,OPENJPA-2911 addSerialization in ASM,
70,62b14584fbf6781164f5a01f8784cf79a0e493a6,Mark Struberg,Thu Jul 13 11:06:21 CEST 2023,OPENJPA-2911 Externalizable in ASM,
71,7700fdfd45d0f1995d7e4592d5a8c6c713c05faa,Mark Struberg,Wed Jul 12 11:05:04 CEST 2023,OPENJPA-2911 DetachedState as ASM,
72,d7571386696353fd43e999d2a5a0b3f5631cc285,Mark Struberg,Tue Jul 11 14:52:31 CEST 2023,OPENJPA-2911 remove unused code,
73,58db135c5eb430edbc657a47d3c186fb51e0c1e7,Mark Struberg,Tue Jul 11 14:50:49 CEST 2023,OPENJPA-2911 isDetached via ASM,
74,e718fc8b5133ae1bcc3f43442bc9f2644e49359f,Mark Struberg,Mon Jul 03 18:05:26 CEST 2023,OPENJPA-2911 using BCClassWriter,
75,2b9b024f273d63e479a02cad751c28b8ef974ace,Mark Struberg,Mon Jul 03 11:06:17 CEST 2023,OPENJPA-2911 addAccessors in ASM,
76,5e89853664d46ed7505efd37a3eddcc53d110e38,Mark Struberg,Mon Jun 26 12:50:03 CEST 2023,OPENJPA-2911 use ASM static initialiser,
77,4b6a38ec1bea4ae3b961f3ecc2186d90a79a5c29,Mark Struberg,Mon Jun 26 11:37:49 CEST 2023,OPENJPA-2911 addNewObjectIdInstanceMethod in ASM,
78,5d63179b480a152b4e56d21c7f059b0c1727fa55,Mark Struberg,Sun Jun 25 22:17:34 CEST 2023,OPENJPA-2911 addCopyKeyFieldsFromObjectIdMethod in ASM,
79,a40b718b03005be89c56b1cf361fadfce8ca29ab,Mark Struberg,Sun Jun 25 16:36:55 CEST 2023,OPENJPA-2911 addCopyKeyFieldsToObjectIdMethod in ASM,
80,ae4964cc457e5a122206182fa8206eeda7ba8437,Mark Struberg,Thu Jun 22 12:21:43 CEST 2023,OPENJPA-2911 addGetIDOwningClass in ASM,
81,5d781bd6dce4d7b2db0e7a85b7eb91aeb2a0e023,Mark Struberg,Thu Jun 22 09:56:40 CEST 2023,OPENJPA-2911 addNoOpApplicationIdentityMethods in ASM,
82,9065ae7201eaba7a2a1e005df9118cca6ea1cf4d,Mark Struberg,Wed Jun 21 19:39:21 CEST 2023,OPENJPA-2911 addReplaceStateManagerMethod in ASM,
83,77d8a8e05b3b22d598c4061c56bdb726e67f8d9c,Mark Struberg,Wed Jun 21 15:39:00 CEST 2023,OPENJPA-2911 few more internal methods in ASM,
84,94d18740199e16e0b41dff324770f6b442142155,Mark Struberg,Tue Jun 20 18:00:27 CEST 2023,!32852 work on staticInitializer via ASM,
85,92bb3b055ae4f882b10a197b012c0a1a3449a4cf,Mark Struberg,Sat Jun 17 20:29:00 CEST 2023,OPENJPA-2911 replace Field access via ASM,
86,a95530b4e6bc00a82077313c7aa876ec1cf12f75,Mark Struberg,Thu Jun 15 15:37:40 CEST 2023,OPENJPA-2911 attributeTranslation via ASM,
87,1a287b267f86079aa79348e9d24f93469522d07a,Mark Struberg,Mon Jun 12 20:20:20 CEST 2023,OPENJPA-2911 fix pcClearFields for mixed access subclassing,
88,50bfc57833dd932e48eb4ebfae4ad8f4bd6bf3cb,Mark Struberg,Sat Jun 10 18:37:02 CEST 2023,OPENJPA-2911 streamline validateProperties,
89,810f85ff9f6a8aa3962270cd9929ad1396b67dbe,Mark Struberg,Sat Jun 10 00:01:42 CEST 2023,OPENJPA-2911 fix findField,
90,f0fe08baaa4626e9d1cc67c207b0278eb4169566,Mark Struberg,Fri Jun 09 20:02:21 CEST 2023,OPENJPA-2911 _pc was missing the Java Version,
91,3a667fe78adb6bd87ef19cfd9302d72d378c1dd1,Mark Struberg,Fri Jun 09 20:01:44 CEST 2023,OPENJPA-2911 copyFields via ASM,
92,d8d829b76b550cc8d79824566ce363db2fc23d9f,Mark Struberg,Thu Jun 08 19:11:23 CEST 2023,OPENJPA-2911 addProvidedFieldsMethod in ASM,
93,03f2d6ae88b537d1bed34b78443e14f8af15af8c,Mark Struberg,Thu Jun 08 14:46:53 CEST 2023,OPENJPA-2911 add replace multiple fields in ASM,
94,cd194bb72e75e3ab1a47d486e9cbd129eefc6175,Mark Struberg,Thu Jun 08 13:16:23 CEST 2023,OPENJPA-2911 addReplaceField in ASM,
95,6164d355a69a111943928e6ecf9225505e3132c7,Mark Struberg,Tue Jun 06 20:22:11 CEST 2023,OPENJPA-2911 addManagedFieldCountMethod in ASM,
96,972b5d0e62451b6b79ea82d4e7fd57c93f77835f,Mark Struberg,Tue Jun 06 17:34:28 CEST 2023,OPENJPA-2911 migrate addNewInstance to ASM,
97,4c7c81d24958486624ade83a1cc104b34fe51949,Mark Struberg,Tue Jun 06 12:11:59 CEST 2023,OPENJPA-2911 clearFields method via ASM,
98,80272a3bf711c96f45d93ff695ba69bc673545a3,Mark Struberg,Thu Jun 01 17:50:58 CEST 2023,OPENJPA-2911 add pcFields via ASM,
