TicketID,CommitHash,CommitMessage
OPENJPA-1074,a7c0b3e918f34cf715d70a095db781ab15b9a55e,"OPENJPA-1074 Show as being fixed in 2.0.0-M3  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@926422 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1074,49596dc4e61534de612f34573db3167e05ddf6d2,"OPENJPA-1074 Fix for bidirectional ordered relationships. Modified order column tests to be included in compile time enhancement.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@780038 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1074,3eff16e07afd3ce6252574ded5a54920b2965c1f,"OPENJPA-1074 Maintain contiguous index for collection element removal  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@773070 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2163,e9ab0d7cec9e81fae5423cb4b4f3a0a209a51dc6,"OPENJPA-2163 Update migration documentation.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1307457 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2163,42372cf6094fa8e32ad9dd31d1bc79a839f45ba4,"OPENJPA-2163 Simplify configuration: move SingletonLifecycleEventManager from property to Compatibility option.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1307018 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2163,284b6e5ceda27eb678399930bc49e028e2e2a39b,"OPENJPA-2163 Add SingletonLifecycleEventManager property to interface and documentation.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1306636 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2163,f506835fa810c177c8c93a7d0ef24d05570b21fe,"OPENJPA-2163 Change LifecycleEventManager PluginValue's singleton default value from true to false. Add SingletonLifecycleEventManager property allow previous property to switch singleton value back to true. Since LifecycleEventManager is a internal property for BeanValidation support, the SingletonLifecycleEventManager property will be kept as internal property as well.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1306592 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-912,80aea14f18227ceafca32cc4a36f614280a7fcc9,"OPENJPA-912 Potential NPE in setInverseRelation  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@741994 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-46,69c34cd385cfd06409b8009af5c9a681233d26b1,"OPENJPA-46: TRUE and FALSE should be case-insensitive in JPQL  git-svn-id: https://svn.apache.org/repos/asf/incubator/openjpa/trunk@515986 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-913,1d47f145476b3fe5e01629b136fd42dd8298f6c2,"OPENJPA-913    git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@743477 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-44,5f138fe08d3ab7a404f766c564ca58ff9b006801,"OPENJPA-44: Add test cases for processing metadata-complete tag.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@680566 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-44,9174b3f1742e0d17eeaa874690cf2dca2752b97d,"OPENJPA-44: Support 'metadata-complete' attribute to ignore class-level annotations.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@680520 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-42,25e80a994e6e50afb0e146066cf6e0185e4b8af7,"OPENJPA-42 Check for the existence of superclass metadata in getSuperclassField so we throw a better exception than an NPE if it doesn't exist.  git-svn-id: https://svn.apache.org/repos/asf/incubator/openjpa/trunk@442030 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2391,c7b4e05b1e98796917b2a67ca87f582a292d13c8,"OPENJPA-2391 - commit patch contributed by Di Lau.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1496128 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-9,b4d72d5843aab0d7b08b28e0bf07859a47419c67,"After OPENJPA-9, -help option in scripts is not working anymore. This is caused by Configurations.runAgainstAllAnchors returns true if no error is encountered (including no operation) during function execution. Since the check of the -help option is in the command's run method and if no anchor is found, the help check is skipped.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@633921 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-9,787b57a486877f695c55c54f7709428df18e64d9,"OPENJPA-9 Use the same criteria for resolving the configuration file for the purposes of listing all the anchors as we do for actually parsing the file itself. Fixes the problem where specifing the property ""persistence.xml"" was not actually resolving /META-INF/persistence.xml in order to obtain the list of anchors.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@604300 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-9,1946a9b0364cfffd39b4ca625dbdebcd8042b375,"OPENJPA-9 not all configuration files are XML, so have getAnchorsInResource and getAnchorsInFile just return null if it isn't able to parse the specific configuration resources as XML  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@598557 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-9,634bdc5c921382bbc0f5e5c90569b087f61138ba,"OPENJPA-9  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@595508 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1060,6bccd91606d09db80dc8bf03ed6a23c47cf153fe,"OPENJPA-1060 Made userObject transient to correct serialization issue  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@771726 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2390,123e28821e0f7a9850ae1d08b3934502b5030429,"OPENJPA-2390 - commit patch contributed by Di Lau.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1496124 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1061,a1a94144bd0a9a26edcd0209e884b364782fd5d7,"OPENJPA-1156. Refactoring test code from OPENJPA-1061 to avoid path length problems in some environments. Specifically I've removed the primitiveidentity component of the package since it was not adding any semantic meaning to the tests. Further refactoring may be needed, but this should prevent the specific problem that was reported.   git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@790703 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1061,9c6fbcbab3c3a2617da4550d4316e36e13d97ca1,"OPENJPA-1061. Setting eol-style (skipped by git)  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@789522 13f79535-47bb-0310-9956-ffa450edef68 "
