Index,IssueID,Name,ResolutionStatus,AffectVersions,FixVersions
333,12551014,BOOKKEEPER-217,Fixed,"4.1.0","4.1.0"
334,12550794,BOOKKEEPER-216,Fixed,"4.1.0","4.1.0"
335,12550470,BOOKKEEPER-215,Fixed,"4.1.0","4.1.0"
336,12549920,BOOKKEEPER-213,Fixed,"","4.1.0"
337,12549872,BOOKKEEPER-212,Fixed,"","4.1.0"
338,12549863,BOOKKEEPER-211,Fixed,"","4.1.0"
339,12549812,BOOKKEEPER-209,Fixed,"4.1.0","4.1.0"
340,12549158,BOOKKEEPER-207,Fixed,"","4.1.0"
341,12548798,BOOKKEEPER-198,Fixed,"","4.1.0"
342,12548766,BOOKKEEPER-197,Fixed,"4.1.0","4.1.0"
343,12548542,BOOKKEEPER-195,Fixed,"","4.1.0"
344,12548463,BOOKKEEPER-194,Fixed,"","4.1.0"
345,12548056,BOOKKEEPER-193,Fixed,"","4.1.0"
346,12547344,BOOKKEEPER-190,Fixed,"","4.1.0"
347,12547214,BOOKKEEPER-189,Fixed,"","4.1.0"
348,12547212,BOOKKEEPER-188,Fixed,"","4.1.0"
349,12546760,BOOKKEEPER-186,Fixed,"4.0.0","4.1.0"
350,12546194,BOOKKEEPER-184,Fixed,"","4.1.0"
351,12545625,BOOKKEEPER-182,Fixed,"","4.1.0"
352,12544728,BOOKKEEPER-180,Fixed,"","4.1.0"
353,12543835,BOOKKEEPER-177,Fixed,"","4.1.0"
354,12543049,BOOKKEEPER-176,Fixed,"","4.1.0"
355,12542831,BOOKKEEPER-174,Fixed,"4.0.0","4.1.0"
356,12542830,BOOKKEEPER-173,Fixed,"","4.1.0"
357,12542578,BOOKKEEPER-171,Fixed,"","4.1.0"
358,12542576,BOOKKEEPER-170,Fixed,"","4.1.0"
359,12542560,BOOKKEEPER-169,Fixed,"4.0.0","4.1.0"
360,12541767,BOOKKEEPER-167,Fixed,"4.0.0","4.1.0"
361,12541653,BOOKKEEPER-166,Fixed,"","4.1.0"
362,12541601,BOOKKEEPER-163,Fixed,"4.0.0","4.1.0"
363,12541562,BOOKKEEPER-162,Fixed,"4.0.0","4.1.0"
364,12541447,BOOKKEEPER-161,Fixed,"","4.1.0"
365,12540288,BOOKKEEPER-156,Fixed,"4.0.0","4.1.0"
366,12538479,BOOKKEEPER-153,Fixed,"4.0.0","4.1.0"
367,12538035,BOOKKEEPER-152,Fixed,"4.0.0","4.1.0"
368,12537054,BOOKKEEPER-150,Fixed,"4.0.0","4.1.0"
369,12536792,BOOKKEEPER-148,Fixed,"","4.1.0"
370,12536048,BOOKKEEPER-146,Fixed,"","4.1.0"
371,12534795,BOOKKEEPER-142,Fixed,"4.0.0","4.1.0"
372,12534015,BOOKKEEPER-140,Fixed,"4.0.0","4.1.0"
373,12533675,BOOKKEEPER-139,Fixed,"","4.0.0"
374,12533666,BOOKKEEPER-138,Fixed,"","4.0.0"
375,12533637,BOOKKEEPER-137,Fixed,"","4.1.0"
376,12533597,BOOKKEEPER-135,Fixed,"","4.1.0"
377,12533514,BOOKKEEPER-134,Fixed,"","4.0.0"
378,12533449,BOOKKEEPER-133,Fixed,"4.0.0","4.1.0"
379,12533303,BOOKKEEPER-131,Fixed,"4.0.0;4.1.0","4.0.0"
380,12533267,BOOKKEEPER-129,Fixed,"4.0.0","4.0.0"
381,12533199,BOOKKEEPER-128,Fixed,"","4.0.0"
382,12533195,BOOKKEEPER-127,Fixed,"","4.0.0"
383,12533108,BOOKKEEPER-125,Fixed,"","4.0.0"
384,12533011,BOOKKEEPER-124,Fixed,"","4.0.0"
385,12532688,BOOKKEEPER-119,Fixed,"","4.0.0"
386,12532451,BOOKKEEPER-118,Fixed,"4.0.0","4.0.0"
387,12531927,BOOKKEEPER-115,Fixed,"","4.0.0"
388,12531791,BOOKKEEPER-113,Fixed,"","4.1.0"
389,12531510,BOOKKEEPER-112,Fixed,"","4.1.0"
390,12530348,BOOKKEEPER-107,Fixed,"4.0.0","4.0.0"
391,12530339,BOOKKEEPER-106,Fixed,"","4.0.0"
392,12529050,BOOKKEEPER-100,Fixed,"","4.0.0"
393,12528801,BOOKKEEPER-94,Fixed,"4.0.0","4.0.0"
394,12528680,BOOKKEEPER-93,Fixed,"4.0.0","4.0.0"
395,12528667,BOOKKEEPER-92,Fixed,"4.0.0","4.0.0"
396,12527798,BOOKKEEPER-88,Fixed,"","4.0.0"
397,12527714,BOOKKEEPER-87,Fixed,"","4.0.0"
398,12527621,BOOKKEEPER-86,Fixed,"","4.0.0"
399,12527158,BOOKKEEPER-81,Fixed,"4.0.0","4.0.0"
400,12527155,BOOKKEEPER-80,Fixed,"4.0.0","4.0.0"
401,12527154,BOOKKEEPER-79,Fixed,"4.0.0","4.0.0"
402,12526170,BOOKKEEPER-74,Fixed,"","4.1.0"
403,12526167,BOOKKEEPER-72,Fixed,"","4.1.0"
404,12525208,BOOKKEEPER-71,Fixed,"4.0.0","4.0.0"
405,12525013,BOOKKEEPER-69,Fixed,"4.0.0","4.0.0"
406,12523619,BOOKKEEPER-68,Fixed,"","4.0.0"
407,12522899,BOOKKEEPER-66,Fixed,"","4.0.0"
408,12521569,BOOKKEEPER-65,Fixed,"","4.0.0"
409,12520909,BOOKKEEPER-63,Fixed,"","4.0.0"
410,12520716,BOOKKEEPER-62,Fixed,"","4.0.0"
411,12520715,BOOKKEEPER-61,Fixed,"4.0.0","4.0.0"
412,12520701,BOOKKEEPER-59,Fixed,"","4.0.0"
413,12520566,BOOKKEEPER-58,Fixed,"","4.0.0"
414,12520538,BOOKKEEPER-57,Fixed,"4.0.0","4.0.0"
415,12520225,BOOKKEEPER-56,Fixed,"4.0.0","4.1.0"
416,12520092,BOOKKEEPER-55,Fixed,"4.0.0","4.2.0"
417,12520060,BOOKKEEPER-53,Fixed,"4.0.0","4.0.0"
418,12519284,BOOKKEEPER-52,Fixed,"4.0.0","4.0.0"
419,12519278,BOOKKEEPER-51,Fixed,"4.0.0","4.0.0"
420,12519276,BOOKKEEPER-50,Fixed,"4.0.0","4.0.0"
421,12518553,BOOKKEEPER-43,Fixed,"4.0.0","4.0.0"
422,12518497,BOOKKEEPER-42,Fixed,"",""
423,12518195,BOOKKEEPER-40,Fixed,"","4.1.0"
424,12518186,BOOKKEEPER-39,Fixed,"4.0.0","4.0.0"
425,12518176,BOOKKEEPER-38,Fixed,"4.0.0","4.0.0"
426,12512230,BOOKKEEPER-29,Fixed,"","4.0.0"
427,12512212,BOOKKEEPER-28,Fixed,"","4.0.0"
428,12512200,BOOKKEEPER-27,Fixed,"","4.0.0"
429,12509086,BOOKKEEPER-24,Fixed,"",""
430,12508945,BOOKKEEPER-22,Fixed,"","4.0.0"
431,12508854,BOOKKEEPER-21,Fixed,"",""
432,12507612,BOOKKEEPER-19,Fixed,"","4.0.0"
433,12507383,BOOKKEEPER-18,Fixed,"","4.0.0"
434,12499276,BOOKKEEPER-5,Fixed,"","4.0.0"
435,12505217,BOOKKEEPER-1,Fixed,"","4.0.0"
