Index,IssueID,Name,ResolutionStatus,AffectVersions,FixVersions
193,12639659,BOOKKEEPER-596,Fixed,"4.2.0;4.2.1","4.2.2;4.3.0"
194,12639153,BOOKKEEPER-594,Fixed,"","4.4.0"
195,12637903,BOOKKEEPER-586,Fixed,"","4.3.0"
196,12637076,BOOKKEEPER-585,Fixed,"","4.2.2;4.3.0"
197,12636520,BOOKKEEPER-584,Fixed,"4.2.0","4.2.2;4.3.0"
198,12635736,BOOKKEEPER-583,Fixed,"4.2.1","4.2.2;4.3.0"
199,12635427,BOOKKEEPER-581,Fixed,"4.2.0;4.2.1","4.2.2;4.3.0"
200,12634361,BOOKKEEPER-580,Fixed,"","4.2.2;4.3.0"
201,12634359,BOOKKEEPER-579,Fixed,"","4.2.2;4.3.0"
202,12634331,BOOKKEEPER-578,Fixed,"","4.4.0"
203,12634164,BOOKKEEPER-577,Fixed,"","4.2.2;4.3.0"
204,12632238,BOOKKEEPER-569,Fixed,"","4.2.1;4.3.0"
205,12631833,BOOKKEEPER-568,Fixed,"4.2.0","4.2.1;4.3.0"
206,12631576,BOOKKEEPER-567,Fixed,"","4.2.1;4.3.0"
207,12630916,BOOKKEEPER-561,Fixed,"","4.3.0"
208,12629489,BOOKKEEPER-559,Fixed,"4.2.0","4.2.2;4.3.0"
209,12629101,BOOKKEEPER-557,Fixed,"","4.3.0"
210,12629098,BOOKKEEPER-556,Fixed,"","4.2.2;4.3.0"
211,12628448,BOOKKEEPER-554,Fixed,"4.2.0","4.2.1;4.3.0"
212,12627801,BOOKKEEPER-549,Fixed,"","4.2.1;4.3.0"
213,12627800,BOOKKEEPER-548,Fixed,"","4.2.1;4.3.0"
214,12627160,BOOKKEEPER-544,Fixed,"","4.3.0"
215,12626901,BOOKKEEPER-543,Fixed,"4.1.0","4.2.0;4.1.1"
216,12626710,BOOKKEEPER-539,Fixed,"","4.2.0"
217,12626600,BOOKKEEPER-538,Fixed,"","4.2.0"
218,12626176,BOOKKEEPER-534,Fixed,"","4.2.0"
219,12626175,BOOKKEEPER-533,Fixed,"","4.2.0"
220,12626163,BOOKKEEPER-532,Fixed,"","4.2.0"
221,12626162,BOOKKEEPER-531,Fixed,"","4.2.0"
222,12625473,BOOKKEEPER-530,Fixed,"4.1.0","4.2.0"
223,12624930,BOOKKEEPER-524,Fixed,"4.2.0","4.2.0"
224,12624849,BOOKKEEPER-522,Fixed,"","4.2.0"
225,12624496,BOOKKEEPER-520,Fixed,"","4.2.0"
226,12624012,BOOKKEEPER-514,Fixed,"","4.2.0"
227,12624011,BOOKKEEPER-513,Fixed,"","4.2.0"
228,12624009,BOOKKEEPER-512,Fixed,"","4.2.0"
229,12624002,BOOKKEEPER-511,Fixed,"","4.2.0"
230,12623917,BOOKKEEPER-509,Fixed,"","4.2.0"
231,12623913,BOOKKEEPER-507,Fixed,"","4.2.0"
232,12623838,BOOKKEEPER-504,Fixed,"","4.2.0"
233,12623785,BOOKKEEPER-503,Fixed,"","4.2.0"
234,12623335,BOOKKEEPER-500,Fixed,"4.1.0;4.2.0","4.2.0"
235,12623151,BOOKKEEPER-498,Fixed,"","4.2.0"
236,12623121,BOOKKEEPER-497,Fixed,"","4.2.0"
237,12619163,BOOKKEEPER-493,Fixed,"","4.2.0"
238,12617805,BOOKKEEPER-485,Fixed,"","4.2.0"
239,12617803,BOOKKEEPER-484,Fixed,"","4.2.0"
240,12617796,BOOKKEEPER-483,Fixed,"","4.2.0"
241,12617768,BOOKKEEPER-482,Fixed,"","4.2.0"
242,12617764,BOOKKEEPER-481,Fixed,"","4.2.0"
243,12617763,BOOKKEEPER-480,Fixed,"","4.2.0"
244,12617762,BOOKKEEPER-479,Fixed,"","4.2.0"
245,12617455,BOOKKEEPER-477,Fixed,"","4.2.0"
