Index,IssueID,Name,InjectVersion,OpeningVersion,AffectedVersions,FixVersions
129,12717862,OPENJPA-2510,2.4.0,2.3.0,"2.4.0",""
130,12717267,OPENJPA-2508,2.2.2,2.3.0,"2.2.2;2.3.0;2.4.0","2.4.0"
131,12716905,OPENJPA-2507,2.2.0,2.3.0,"2.2.0;2.3.0;2.4.0","2.4.0"
132,12716383,OPENJPA-2506,2.0.1,2.3.0,"2.0.1;2.1.1;2.2.2;2.3.0;2.4.0","2.4.0"
133,12714792,OPENJPA-2505,2.1.0,2.3.0,"2.1.0;2.2.2;2.3.0;2.4.0","2.4.0"
134,12713350,OPENJPA-2502,2.2.1,2.3.0,"2.2.1;2.2.2;2.3.0;2.4.0","2.4.0"
135,12708310,OPENJPA-2494,2.3.0,2.3.0,"2.3.0;2.4.0","2.4.0"
136,12700809,OPENJPA-2482,2.1.1,2.3.0,"2.1.1;2.2.2;2.3.0;2.4.0","2.4.0"
137,12699402,OPENJPA-2480,N/A,2.3.0,"","2.3.0"
138,12694802,OPENJPA-2478,2.2.2,2.3.0,"2.2.2;2.3.0;2.4.0","2.4.0"
139,12693951,OPENJPA-2476,2.1.0,2.3.0,"2.1.0;2.2.0;2.3.0;2.4.0","2.4.0"
140,12692355,OPENJPA-2475,2.1.1,2.3.0,"2.1.1;2.2.2;2.3.0;2.4.0","2.4.0"
141,12689595,OPENJPA-2472,2.2.2,2.3.0,"2.2.2;2.3.0","2.4.0"
142,12688907,OPENJPA-2470,2.0.1,2.3.0,"2.0.1;2.1.1;2.2.2","2.4.0"
143,12685900,OPENJPA-2467,2.2.2,2.3.0,"2.2.2","2.4.0"
144,12682710,OPENJPA-2463,2.0.1,2.3.0,"2.0.1;2.2.2","2.4.0"
145,12679798,OPENJPA-2456,N/A,2.2.2,"","2.4.0"
146,12675569,OPENJPA-2444,2.3.0,2.2.2,"2.3.0","2.3.0;2.4.0"
147,12675132,OPENJPA-2443,2.3.0,2.2.2,"2.3.0;2.4.0","2.3.0;2.4.0"
148,12674871,OPENJPA-2442,2.4.0,2.2.2,"2.4.0","2.4.0"
149,12674821,OPENJPA-2441,2.4.0,2.2.2,"2.4.0","2.4.0"
150,12674126,OPENJPA-2440,2.3.0,2.2.2,"2.3.0","2.3.0"
151,12673459,OPENJPA-2437,N/A,2.2.2,"","2.3.0"
152,12672937,OPENJPA-2435,2.1.0,2.2.2,"2.1.0;2.2.2;2.3.0","2.3.0"
153,12670908,OPENJPA-2432,N/A,2.2.2,"","2.3.0"
154,12666733,OPENJPA-2425,2.3.0,2.2.2,"2.3.0","2.3.0"
155,12665556,OPENJPA-2423,2.1.1,2.2.2,"2.1.1;2.2.2;2.3.0","2.3.0"
156,12663617,OPENJPA-2421,2.2.2,2.2.2,"2.2.2;2.3.0","2.3.0"
157,12662235,OPENJPA-2418,2.3.0,2.2.2,"2.3.0","2.3.0"
158,12659627,OPENJPA-2414,2.3.0,2.2.2,"2.3.0","2.3.0"
159,12657213,OPENJPA-2409,2.2.2,2.2.2,"2.2.2","2.3.0"
160,12654693,OPENJPA-2405,N/A,2.2.2,"","2.3.0"
161,12652902,OPENJPA-2400,N/A,2.2.2,"","2.3.0"
162,12650354,OPENJPA-2391,N/A,2.2.2,"","2.3.0"
163,12649901,OPENJPA-2390,2.2.1,2.2.2,"2.2.1","2.3.0"
164,12648936,OPENJPA-2384,N/A,2.2.2,"","2.3.0"
165,12647764,OPENJPA-2381,2.2.2,2.2.2,"2.2.2","2.4.0"
166,12646130,OPENJPA-2378,2.3.0,2.2.2,"2.3.0","2.3.0"
167,12644570,OPENJPA-2377,N/A,2.2.2,"","2.3.0"
168,12644134,OPENJPA-2374,2.2.1,2.2.2,"2.2.1;2.3.0","2.3.0"
169,12642602,OPENJPA-2369,2.2.1,1.2.2,"2.2.1","2.3.0"
170,12638547,OPENJPA-2357,2.2.0,1.2.2,"2.2.0;2.2.1","2.3.0"
171,12638102,OPENJPA-2355,N/A,1.2.2,"","2.3.0"
172,12634822,OPENJPA-2343,2.2.1,1.2.2,"2.2.1;2.3.0","2.3.0"
173,12634436,OPENJPA-2341,2.2.0,1.2.2,"2.2.0","2.4.1"
174,12633817,OPENJPA-2339,2.2.0,1.2.2,"2.2.0;2.2.1","2.2.1"
175,12633087,OPENJPA-2336,N/A,1.2.2,"","2.3.0"
176,12633067,OPENJPA-2335,N/A,1.2.2,"","2.3.0"
177,12632301,OPENJPA-2334,2.2.2,1.2.2,"2.2.2;2.3.0","2.2.2;2.3.0"
178,12631234,OPENJPA-2330,2.2.0,1.2.2,"2.2.0;2.2.1","2.3.0"
179,12630095,OPENJPA-2328,2.1.1,1.2.2,"2.1.1;2.2.0;2.2.1","2.3.0"
180,12628822,OPENJPA-2326,2.3.0,1.2.2,"2.3.0","2.2.2;2.3.0"
181,12628714,OPENJPA-2325,2.3.0,1.2.2,"2.3.0","2.3.0"
182,12627027,OPENJPA-2321,N/A,1.2.2,"","2.2.2;2.3.0"
183,12626461,OPENJPA-2320,N/A,1.2.2,"","2.2.2;2.3.0"
184,12626144,OPENJPA-2318,2.1.1,1.2.2,"2.1.1","2.3.0"
185,12623454,OPENJPA-2308,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0",""
186,12623452,OPENJPA-2307,N/A,1.2.2,"",""
187,12623450,OPENJPA-2306,N/A,1.2.2,"",""
188,12623423,OPENJPA-2304,N/A,1.2.2,"","2.2.2;2.3.0"
189,12617576,OPENJPA-2300,2.2.1,1.2.2,"2.2.1","3.0.0"
190,12616445,OPENJPA-2298,2.2.0,1.2.2,"2.2.0;2.3.0","2.2.2;2.3.0"
191,12614256,OPENJPA-2289,2.0.1,1.2.2,"2.0.1;2.1.1;2.2.0;2.3.0","2.2.2;2.3.0"
192,12613904,OPENJPA-2288,2.1.1,1.2.2,"2.1.1;2.2.0","2.2.2;2.3.0"
193,12613873,OPENJPA-2287,2.2.0,1.2.2,"2.2.0","2.4.0"
